benchmark,mean_ms,stddev_ms,min_ms,max_ms,trials,individual_times...
E2.1: Date query SERIAL baseline,93.3996,0.460114,92.8546,93.98,3,93.98,93.3642,92.8546
E2.1: Date query 1 threads,97.5618,6.30349,91.372,106.212,3,91.372,106.212,95.1009
E2.1: Date query 2 threads,58.65,0.790927,57.6028,59.5139,3,59.5139,58.8333,57.6028
E2.1: Date query 4 threads,43.9028,0.069019,43.8207,43.9895,3,43.9895,43.8207,43.8982
E2.1: Date query 8 threads,27.0852,0.0777038,26.9848,27.1741,3,26.9848,27.1741,27.0967
E2.1: Date query 14 threads,37.0609,1.02107,35.8985,38.3841,3,38.3841,36.9001,35.8985
E2.1: Borough query SERIAL,153.823,5.28395,149.375,161.247,3,161.247,150.847,149.375
E2.1: Borough query 1 threads,142.462,2.00914,139.67,144.315,3,144.315,143.4,139.67
E2.1: Borough query 2 threads,82.2929,5.47762,78.4071,90.0394,3,78.4071,78.4322,90.0394
E2.1: Borough query 4 threads,47.9882,0.982531,46.6222,48.8916,3,48.4508,46.6222,48.8916
E2.1: Borough query 8 threads,30.1942,0.713037,29.6275,31.1999,3,29.6275,31.1999,29.7553
E2.1: Borough query 14 threads,24.013,0.870196,23.3814,25.2435,3,25.2435,23.3814,23.414
E2.3: Parse SERIAL,134339,178.35,134148,134577,3,134292,134148,134577
E2.3: Parse PARALLEL 1 threads,157378,3292.13,154039,161857,3,156238,154039,161857
E2.3: Parse PARALLEL 2 threads,94185.3,640.004,93553.3,95062.4,3,95062.4,93940.2,93553.3
E2.3: Parse PARALLEL 4 threads,63635.9,253.73,63359.1,63972,3,63972,63359.1,63576.5
E2.3: Parse PARALLEL 8 threads,48633,51.2175,48579.6,48702.1,3,48617.4,48579.6,48702.1
E2.3: Parse PARALLEL 14 threads,46176.6,165.857,46023.6,46407.1,3,46099.1,46407.1,46023.6
E2.4: Query 1000 rows SERIAL,2950.86,3950.73,155.147,8538.03,3,8538.03,159.388,155.147
E2.4: Query 1000 rows 14 threads,24.1055,0.663372,23.2332,24.8406,3,24.8406,23.2332,24.2427
